Year,TotalPopulation,MalePopulation,FemalePopulation
1970,1823,909,914
1971,1694,838,856
1972,1574,783,791
1973,1480,734,746
1974,1379,680,699
1975,1290,634,656
1976,1207,589,618
1977,1149,559,590
1978,1100,533,567
1979,1030,497,533
1980,983,474,509
1981,934,447,487
1982,889,429,460
1983,851,412,439
1984,795,383,412
1985,746,356,390
1986,706,335,371
1987,669,318,351
1988,633,304,329
1989,600,286,314
1990,566,271,295
1991,537,258,279
1992,504,248,256
1993,481,231,250
1994,452,215,237
1995,416,202,214
1996,398,195,203
1997,374,183,191
1998,347,169,178
1999,324,158,166
2000,303,145,158
2001,286,137,149
2002,263,126,137
2003,238,116,122
2004,215,104,111
2005,193,90,103
2006,179,85,94
2007,161,80,81
2008,144,68,76
2009,130,61,69
2010,111,51,60
2011,99,45,54
2012,83,37,46
2013,72,32,40
2014,62,30,32
2015,54,27,27
2016,41,22,19
2017,33,16,17
2018,28,15,13
2019,24,11,13
2020,19,7,12
2021,16,7,9
